"customer_id","first_name","last_name","email","address_id","active","create_date","address","address2","district","city_id","postal_code","phone","city","country_id","country","manager_staff_id","last_update"
1,"Mary","Smith","mary.smith@sakilacustomer.org",5,1,"2006-02-14","1913 Hanoi Way","","Nagasaki",463,"35200","28303384290","Sasebo",50,"Japan",1,"2006-02-15 09:57:12"
2,"Patricia","Johnson","patricia.johnson@sakilacustomer.org",6,1,"2006-02-14","1121 Loja Avenue","","California",449,"17886","838635286649","San Bernardino",103,"United States",1,"2006-02-15 09:57:12"
3,"Linda","Williams","linda.williams@sakilacustomer.org",7,1,"2006-02-14","692 Joliet Street","","Attika",38,"83579","448477190408","Athenai",39,"Greece",1,"2006-02-15 09:57:12"
4,"Barbara","Jones","barbara.jones@sakilacustomer.org",8,1,"2006-02-14","1566 Inegl Manor","","Mandalay",349,"53561","705814003527","Myingyan",64,"Myanmar",2,"2006-02-15 09:57:12"
5,"Elizabeth","Brown","elizabeth.brown@sakilacustomer.org",9,1,"2006-02-14","53 Idfu Parkway","","Nantou",361,"42399","10655648674","Nantou",92,"Taiwan",1,"2006-02-15 09:57:12"
6,"Jennifer","Davis","jennifer.davis@sakilacustomer.org",10,1,"2006-02-14","1795 Santiago de Compostela Way","","Texas",295,"18743","860452626434","Laredo",103,"United States",2,"2006-02-15 09:57:12"
7,"Maria","Miller","maria.miller@sakilacustomer.org",11,1,"2006-02-14","900 Santiago de Compostela Parkway","","Central Serbia",280,"93896","716571220373","Kragujevac",108,"Yugoslavia",1,"2006-02-15 09:57:12"
8,"Susan","Wilson","susan.wilson@sakilacustomer.org",12,1,"2006-02-14","478 Joliet Way","","Hamilton",200,"77948","657282285970","Hamilton",68,"New Zealand",2,"2006-02-15 09:57:12"
9,"Margaret","Moore","margaret.moore@sakilacustomer.org",13,1,"2006-02-14","613 Korolev Drive","","Masqat",329,"45844","380657522649","Masqat",71,"Oman",2,"2006-02-15 09:57:12"
10,"Dorothy","Taylor","dorothy.taylor@sakilacustomer.org",14,1,"2006-02-14","1531 Sal Drive","","Esfahan",162,"53628","648856936185","Esfahan",46,"Iran",1,"2006-02-15 09:57:12"
11,"Lisa","Anderson","lisa.anderson@sakilacustomer.org",15,1,"2006-02-14","1542 Tarlac Parkway","","Kanagawa",440,"1027","635297277345","Sagamihara",50,"Japan",2,"2006-02-15 09:57:12"
12,"Nancy","Thomas","nancy.thomas@sakilacustomer.org",16,1,"2006-02-14","808 Bhopal Manor","","Haryana",582,"10672","465887807014","Yamuna Nagar",44,"India",1,"2006-02-15 09:57:12"
13,"Karen","Jackson","karen.jackson@sakilacustomer.org",17,1,"2006-02-14","270 Amroha Parkway","","Osmaniye",384,"29610","695479687538","Osmaniye",97,"Turkey",2,"2006-02-15 09:57:12"
14,"Betty","White","betty.white@sakilacustomer.org",18,1,"2006-02-14","770 Bydgoszcz Avenue","","California",120,"16266","517338314235","Citrus Heights",103,"United States",2,"2006-02-15 09:57:12"
15,"Helen","Harris","helen.harris@sakilacustomer.org",19,1,"2006-02-14","419 Iligan Lane","","Madhya Pradesh",76,"72878","990911107354","Bhopal",44,"India",1,"2006-02-15 09:57:12"
16,"Sandra","Martin","sandra.martin@sakilacustomer.org",20,0,"2006-02-14","360 Toulouse Parkway","","England",495,"54308","949312333307","Southend-on-Sea",102,"United Kingdom",2,"2006-02-15 09:57:12"
17,"Donna","Thompson","donna.thompson@sakilacustomer.org",21,1,"2006-02-14","270 Toulon Boulevard","","Kalmykia",156,"81766","407752414682","Elista",80,"Russian Federation",1,"2006-02-15 09:57:12"
18,"Carol","Garcia","carol.garcia@sakilacustomer.org",22,1,"2006-02-14","320 Brest Avenue","","Kaduna",252,"43331","747791594069","Kaduna",69,"Nigeria",2,"2006-02-15 09:57:12"
19,"Ruth","Martinez","ruth.martinez@sakilacustomer.org",23,1,"2006-02-14","1417 Lancaster Avenue","","Northern Cape",267,"72192","272572357893","Kimberley",85,"South Africa",1,"2006-02-15 09:57:12"
20,"Sharon","Robinson","sharon.robinson@sakilacustomer.org",24,1,"2006-02-14","1688 Okara Way","","Nothwest Border Prov",327,"21954","144453869132","Mardan",72,"Pakistan",2,"2006-02-15 09:57:12"
21,"Michelle","Clark","michelle.clark@sakilacustomer.org",25,1,"2006-02-14","262 A Corua (La Corua) Parkway","","Dhaka",525,"34418","892775750063","Tangail",12,"Bangladesh",1,"2006-02-15 09:57:12"
22,"Laura","Rodriguez","laura.rodriguez@sakilacustomer.org",26,1,"2006-02-14","28 Charlotte Amalie Street","","Rabat-Sal-Zammour-Z",443,"37551","161968374323","Sal",62,"Morocco",1,"2006-02-15 09:57:12"
23,"Sarah","Lewis","sarah.lewis@sakilacustomer.org",27,1,"2006-02-14","1780 Hino Boulevard","","Liepaja",303,"7716","902731229323","Liepaja",54,"Latvia",2,"2006-02-15 09:57:12"
24,"Kimberly","Lee","kimberly.lee@sakilacustomer.org",28,1,"2006-02-14","96 Tafuna Way","","Crdoba",128,"99865","934730187245","Crdoba",6,"Argentina",2,"2006-02-15 09:57:12"
25,"Deborah","Walker","deborah.walker@sakilacustomer.org",29,1,"2006-02-14","934 San Felipe de Puerto Plata Street","","Sind",472,"99780","196495945706","Shikarpur",72,"Pakistan",1,"2006-02-15 09:57:12"
26,"Jessica","Hall","jessica.hall@sakilacustomer.org",30,1,"2006-02-14","18 Duisburg Boulevard","","",121,"58327","998009777982","Citt del Vaticano",41,"Holy See (Vatican City State)",2,"2006-02-15 09:57:12"
27,"Shirley","Allen","shirley.allen@sakilacustomer.org",31,1,"2006-02-14","217 Botshabelo Place","","Southern Mindanao",138,"49521","665356572025","Davao",75,"Philippines",2,"2006-02-15 09:57:12"
28,"Cynthia","Young","cynthia.young@sakilacustomer.org",32,1,"2006-02-14","1425 Shikarpur Manor","","Bihar",346,"65599","678220867005","Munger (Monghyr)",44,"India",1,"2006-02-15 09:57:12"
29,"Angela","Hernandez","angela.hernandez@sakilacustomer.org",33,1,"2006-02-14","786 Aurora Avenue","","Yamaguchi",474,"65750","18461860151","Shimonoseki",50,"Japan",2,"2006-02-15 09:57:12"
30,"Melissa","King","melissa.king@sakilacustomer.org",34,1,"2006-02-14","1668 Anpolis Street","","Taipei",316,"50199","525255540978","Lungtan",92,"Taiwan",1,"2006-02-15 09:57:12"
31,"Brenda","Wright","brenda.wright@sakilacustomer.org",35,1,"2006-02-14","33 Gorontalo Way","","West Bengali",257,"30348","745994947458","Kamarhati",44,"India",2,"2006-02-15 09:57:12"
32,"Amy","Lopez","amy.lopez@sakilacustomer.org",36,1,"2006-02-14","176 Mandaluyong Place","","Uttar Pradesh",239,"65213","627705991774","Jhansi",44,"India",1,"2006-02-15 09:57:12"
33,"Anna","Hill","anna.hill@sakilacustomer.org",37,1,"2006-02-14","127 Purnea (Purnia) Manor","","Piemonte",17,"79388","911872220378","Alessandria",49,"Italy",2,"2006-02-15 09:57:12"
34,"Rebecca","Scott","rebecca.scott@sakilacustomer.org",38,1,"2006-02-14","61 Tama Street","","Okayama",284,"94065","708403338270","Kurashiki",50,"Japan",2,"2006-02-15 09:57:12"
35,"Virginia","Green","virginia.green@sakilacustomer.org",39,1,"2006-02-14","391 Callao Drive","","Midi-Pyrnes",544,"34021","440512153169","Toulouse",34,"France",2,"2006-02-15 09:57:12"
36,"Kathleen","Adams","kathleen.adams@sakilacustomer.org",40,1,"2006-02-14","334 Munger (Monghyr) Lane","","Markazi",31,"38145","481183273622","Arak",46,"Iran",2,"2006-02-15 09:57:12"
37,"Pamela","Baker","pamela.baker@sakilacustomer.org",41,1,"2006-02-14","1440 Fukuyama Loop","","Henan",362,"47929","912257250465","Nanyang",23,"China",1,"2006-02-15 09:57:12"
38,"Martha","Gonzalez","martha.gonzalez@sakilacustomer.org",42,1,"2006-02-14","269 Cam Ranh Parkway","","Chisinau",115,"34689","489783829737","Chisinau",61,"Moldova",1,"2006-02-15 09:57:12"
39,"Debra","Nelson","debra.nelson@sakilacustomer.org",43,1,"2006-02-14","306 Antofagasta Place","","Esprito Santo",569,"3989","378318851631","Vila Velha",15,"Brazil",1,"2006-02-15 09:57:12"
40,"Amanda","Carter","amanda.carter@sakilacustomer.org",44,1,"2006-02-14","671 Graz Street","","Oriental",353,"94399","680768868518","Nador",62,"Morocco",2,"2006-02-15 09:57:12"
41,"Stephanie","Mitchell","stephanie.mitchell@sakilacustomer.org",45,1,"2006-02-14","42 Brindisi Place","","Yerevan",586,"16744","42384721397","Yerevan",7,"Armenia",1,"2006-02-15 09:57:12"
42,"Carolyn","Perez","carolyn.perez@sakilacustomer.org",46,1,"2006-02-14","1632 Bislig Avenue","","Nonthaburi",394,"61117","471675840679","Pak Kret",94,"Thailand",2,"2006-02-15 09:57:12"
43,"Christine","Roberts","christine.roberts@sakilacustomer.org",47,1,"2006-02-14","1447 Imus Way","","Tahiti",167,"48942","539758313890","Faaa",36,"French Polynesia",2,"2006-02-15 09:57:12"
44,"Marie","Turner","marie.turner@sakilacustomer.org",48,1,"2006-02-14","1998 Halifax Drive","","Lipetsk",308,"76022","177727722820","Lipetsk",80,"Russian Federation",1,"2006-02-15 09:57:12"
45,"Janet","Phillips","janet.phillips@sakilacustomer.org",49,1,"2006-02-14","1718 Valencia Street","","Antofagasta",27,"37359","675292816413","Antofagasta",22,"Chile",1,"2006-02-15 09:57:12"
46,"Catherine","Campbell","catherine.campbell@sakilacustomer.org",50,1,"2006-02-14","46 Pjatigorsk Lane","","Moscow (City)",343,"23616","262076994845","Moscow",80,"Russian Federation",2,"2006-02-15 09:57:12"
47,"Frances","Parker","frances.parker@sakilacustomer.org",51,1,"2006-02-14","686 Garland Manor","","Cear",247,"52535","69493378813","Juazeiro do Norte",15,"Brazil",1,"2006-02-15 09:57:12"
48,"Ann","Evans","ann.evans@sakilacustomer.org",52,1,"2006-02-14","909 Garland Manor","","Tatarstan",367,"69367","705800322606","Niznekamsk",80,"Russian Federation",1,"2006-02-15 09:57:12"
49,"Joyce","Edwards","joyce.edwards@sakilacustomer.org",53,1,"2006-02-14","725 Isesaki Place","","Mekka",237,"74428","876295323994","Jedda",82,"Saudi Arabia",2,"2006-02-15 09:57:12"
50,"Diane","Collins","diane.collins@sakilacustomer.org",54,1,"2006-02-14","115 Hidalgo Parkway","","Khartum",379,"80168","307703950263","Omdurman",89,"Sudan",1,"2006-02-15 09:57:12"
51,"Alice","Stewart","alice.stewart@sakilacustomer.org",55,1,"2006-02-14","1135 Izumisano Parkway","","California",171,"48150","171822533480","Fontana",103,"United States",1,"2006-02-15 09:57:12"
52,"Julie","Sanchez","julie.sanchez@sakilacustomer.org",56,1,"2006-02-14","939 Probolinggo Loop","","Galicia",1,"4166","680428310138","A Corua (La Corua)",87,"Spain",1,"2006-02-15 09:57:12"
53,"Heather","Morris","heather.morris@sakilacustomer.org",57,1,"2006-02-14","17 Kabul Boulevard","","Chiba",355,"38594","697760867968","Nagareyama",50,"Japan",1,"2006-02-15 09:57:12"
54,"Teresa","Rogers","teresa.rogers@sakilacustomer.org",58,1,"2006-02-14","1964 Allappuzha (Alleppey) Street","","Yamaguchi",227,"48980","920811325222","Iwakuni",50,"Japan",1,"2006-02-15 09:57:12"
55,"Doris","Reed","doris.reed@sakilacustomer.org",59,1,"2006-02-14","1697 Kowloon and New Kowloon Loop","","Moskova",49,"57807","499352017190","Balaiha",80,"Russian Federation",2,"2006-02-15 09:57:12"
56,"Gloria","Cook","gloria.cook@sakilacustomer.org",60,1,"2006-02-14","1668 Saint Louis Place","","Tahiti",397,"39072","347487831378","Papeete",36,"French Polynesia",1,"2006-02-15 09:57:12"
57,"Evelyn","Morgan","evelyn.morgan@sakilacustomer.org",61,1,"2006-02-14","943 Tokat Street","","Vaduz",560,"45428","889318963672","Vaduz",55,"Liechtenstein",2,"2006-02-15 09:57:12"
58,"Jean","Bell","jean.bell@sakilacustomer.org",62,1,"2006-02-14","1114 Liepaja Street","","Sarawak",282,"69226","212869228936","Kuching",59,"Malaysia",1,"2006-02-15 09:57:12"
59,"Cheryl","Murphy","cheryl.murphy@sakilacustomer.org",63,1,"2006-02-14","1213 Ranchi Parkway","","Karnataka",350,"94352","800024380485","Mysore",44,"India",1,"2006-02-15 09:57:12"
60,"Mildred","Bailey","mildred.bailey@sakilacustomer.org",64,1,"2006-02-14","81 Hodeida Way","","Rajasthan",231,"55561","250767749542","Jaipur",44,"India",1,"2006-02-15 09:57:12"
61,"Katherine","Rivera","katherine.rivera@sakilacustomer.org",65,1,"2006-02-14","915 Ponce Place","","Basel-Stadt",56,"83980","1395251317","Basel",91,"Switzerland",2,"2006-02-15 09:57:12"
62,"Joan","Cooper","joan.cooper@sakilacustomer.org",66,1,"2006-02-14","1717 Guadalajara Lane","","Missouri",441,"85505","914090181665","Saint Louis",103,"United States",1,"2006-02-15 09:57:12"
63,"Ashley","Richardson","ashley.richardson@sakilacustomer.org",67,1,"2006-02-14","1214 Hanoi Way","","Nebraska",306,"67055","491001136577","Lincoln",103,"United States",1,"2006-02-15 09:57:12"
64,"Judith","Cox","judith.cox@sakilacustomer.org",68,0,"2006-02-14","1966 Amroha Avenue","","Sichuan",139,"70385","333489324603","Daxian",23,"China",2,"2006-02-15 09:57:12"
65,"Rose","Howard","rose.howard@sakilacustomer.org",69,1,"2006-02-14","698 Otsu Street","","Cayenne",105,"71110","409983924481","Cayenne",35,"French Guiana",2,"2006-02-15 09:57:12"
66,"Janice","Ward","janice.ward@sakilacustomer.org",70,1,"2006-02-14","1150 Kimchon Manor","","Skne ln",321,"96109","663449333709","Malm",90,"Sweden",2,"2006-02-15 09:57:12"
67,"Kelly","Torres","kelly.torres@sakilacustomer.org",71,1,"2006-02-14","1586 Guaruj Place","","Hunan",579,"5135","947233365992","Xiangtan",23,"China",1,"2006-02-15 09:57:12"
68,"Nicole","Peterson","nicole.peterson@sakilacustomer.org",72,1,"2006-02-14","57 Arlington Manor","","Madhya Pradesh",475,"48960","990214419142","Shivapuri",44,"India",1,"2006-02-15 09:57:12"
69,"Judy","Gray","judy.gray@sakilacustomer.org",73,1,"2006-02-14","1031 Daugavpils Parkway","","Bchar",63,"59025","107137400143","Bchar",2,"Algeria",2,"2006-02-15 09:57:12"
70,"Christina","Ramirez","christina.ramirez@sakilacustomer.org",74,1,"2006-02-14","1124 Buenaventura Drive","","Mekka",13,"6856","407733804223","al-Hawiya",82,"Saudi Arabia",2,"2006-02-15 09:57:12"
71,"Kathy","James","kathy.james@sakilacustomer.org",75,1,"2006-02-14","492 Cam Ranh Street","","Eastern Visayas",61,"50805","565018274456","Baybay",75,"Philippines",1,"2006-02-15 09:57:12"
72,"Theresa","Watson","theresa.watson@sakilacustomer.org",76,1,"2006-02-14","89 Allappuzha (Alleppey) Manor","","National Capital Reg",517,"75444","255800440636","Taguig",75,"Philippines",2,"2006-02-15 09:57:12"
73,"Beverly","Brooks","beverly.brooks@sakilacustomer.org",77,1,"2006-02-14","1947 Poos de Caldas Boulevard","","Chiayi",114,"60951","427454485876","Chiayi",92,"Taiwan",2,"2006-02-15 09:57:12"
74,"Denise","Kelly","denise.kelly@sakilacustomer.org",78,1,"2006-02-14","1206 Dos Quebradas Place","","So Paulo",431,"20207","241832790687","Rio Claro",15,"Brazil",1,"2006-02-15 09:57:12"
75,"Tammy","Sanders","tammy.sanders@sakilacustomer.org",79,1,"2006-02-14","1551 Rampur Lane","","Changhwa",108,"72394","251164340471","Changhwa",92,"Taiwan",2,"2006-02-15 09:57:12"
76,"Irene","Price","irene.price@sakilacustomer.org",80,1,"2006-02-14","602 Paarl Street","","Pavlodar",402,"98889","896314772871","Pavlodar",51,"Kazakstan",2,"2006-02-15 09:57:12"
77,"Jane","Bennett","jane.bennett@sakilacustomer.org",81,1,"2006-02-14","1692 Ede Loop","","So Paulo",30,"9223","918711376618","Araatuba",15,"Brazil",2,"2006-02-15 09:57:12"
78,"Lori","Wood","lori.wood@sakilacustomer.org",82,1,"2006-02-14","936 Salzburg Lane","","Uttar Pradesh",425,"96709","875756771675","Rae Bareli",44,"India",1,"2006-02-15 09:57:12"
79,"Rachel","Barnes","rachel.barnes@sakilacustomer.org",83,1,"2006-02-14","586 Tete Way","","Kanagawa",256,"1079","18581624103","Kamakura",50,"Japan",1,"2006-02-15 09:57:12"
80,"Marilyn","Ross","marilyn.ross@sakilacustomer.org",84,1,"2006-02-14","1888 Kabul Drive","","Oyo & Osun",217,"20936","701457319790","Ife",69,"Nigeria",1,"2006-02-15 09:57:12"
81,"Andrea","Henderson","andrea.henderson@sakilacustomer.org",85,1,"2006-02-14","320 Baiyin Parkway","","Mahajanga",319,"37307","223664661973","Mahajanga",57,"Madagascar",1,"2006-02-15 09:57:12"
